Guid,Name,CreatedDate,LastModifiedDate,Code,Description
1f96cce0-a685-4b70-ac92-7155244ce581,Processor,2026-02-10T12:05:25.000+0000,2026-02-10T12:05:25.000+0000,PRO,#N/A
217a32af-843b-44a7-aef5-ed3c6454541f,Tablet Storage Specs,2026-02-17T11:46:19.000+0000,2026-02-17T11:46:19.000+0000,ATTRCAT002,All tablet storage specifications
30092814-01b2-45ec-9f1b-a7f9c9edd622,Printer,2026-02-10T12:05:25.000+0000,2026-02-10T12:05:25.000+0000,P001,#N/A
3377021d-949d-4adf-b3db-9cc1e095464c,Training,2026-02-10T12:05:25.000+0000,2026-02-10T12:05:25.000+0000,T001,#N/A
387a4b86-69c5-4531-91b9-cbc22d0381e2,Storage,2026-02-10T12:05:25.000+0000,2026-02-10T12:05:25.000+0000,STO,#N/A
48189a3e-e9a3-40de-8173-f04ce9311566,Paper,2026-02-10T12:05:25.000+0000,2026-02-10T12:05:25.000+0000,PP001,#N/A
508ef492-7316-42f6-86df-2bfae0f37e8a,Connection Type,2026-02-10T12:05:25.000+0000,2026-02-10T12:05:25.000+0000,CT001,#N/A
536b9245-7733-4035-9ed2-4bcf26038140,Graphics,2026-02-10T12:05:25.000+0000,2026-02-10T12:05:25.000+0000,GRA,#N/A
ac14dbb6-9298-44b0-b534-66c4efb54231,Tablet Display Specs,2026-02-17T11:39:34.000+0000,2026-02-17T11:39:34.000+0000,ATTRCAT001,All tablet display specifications
bbbd3f24-388c-42e3-ac16-3131542fbb60,Thermal Composition,2026-02-10T12:05:25.000+0000,2026-02-10T12:05:25.000+0000,TC009088,#N/A
c158eb75-1151-425b-baba-4b6a9f93a47f,Support,2026-02-10T12:05:25.000+0000,2026-02-10T12:05:25.000+0000,SP001,#N/A
d07c89ca-42a3-49c3-aa16-de6dbd7c2046,Register Type,2026-02-10T12:05:25.000+0000,2026-02-10T12:05:25.000+0000,REGTYP,#N/A
e2e3acc2-f50b-488c-81ab-b61fae4889c6,Display,2026-02-10T12:05:25.000+0000,2026-02-10T12:05:25.000+0000,DIS,#N/A
f3e117e2-e279-4e10-b140-e0d09f7b534a,Memory,2026-02-10T12:05:25.000+0000,2026-02-10T12:05:25.000+0000,MEM,#N/A
